,Unnamed: 0,title,ref_txt,kw_list
326,11240,Введена в эксплуатацию вторая очередь мини-ТЭС для птицефабрики в Нижегородской области,"Сообщается о строительстве мини-ТЭС в Нижегородской области на птицефабрике по производству мяса бойлеров. Построила мини-ТЭС и выполнила перевооружение котельной с установкой паровых котлов компания ""Энергонезависимость"". ТЭС создана на базе двух газопоршневых высоковольтных установок 16V4000GS (MTU) электрической мощностью по 1557__кВт контейнерного исполнения. Они полностью обеспечивают фабрику электрической и тепловой энергией. Экономический эффект от внедрения собственной генерации позволил птицефабрике окупить вложения за два года. Реализовано проектное решение по компоновке электростанции с модульным распредустройством на 6,3__кВ в отдельном контейнере. Модули образуют единое здание с разделенными машинными залами и помещением РУ-6,3. Электростанция и котельная полностью автоматизированы и обслуживаются единой диспетчерской службой. Тепловая энергия поступает в котельную предприятия. Мини-ТЭС работает в составе локальной сети предприятия, с возможностью эксплуатации в параллель с энергосистемой",Россия\газопоршневые установки\мини-ТЭС\мощность 2_*1557__кВт\строительство
327,104353,Технологии геофизических исследований бурящихся и эксплуатируемых горизонтальных скважин,"Из большого числа модификаций образцов отечественной скважинной аппаратуры, предназначенной для исследований в скважинах действующего фонда, наиболее адаптированными для решения задач каротажа в горизонтальных скважинах являются комплексные приборы АГАТ-КГ-42 ВСТ-6 и ""Сова-С9-42-80"". В составе приборов в отличие от стандартной аппаратуры дополнительно установлены датчики влагометрии (термометрии), размещенные при помощи рессор по периметру скважины, что позволяет получать информацию о распределении флюида по всему сечению ствола. Применение указанных приборов в комплексе с новыми технологическими приемами позволяет успешно решать основные задачи по определению мест поступления в ствол скважины нефти и воды, поиску заколонных перетоков, выделению работающих интервалов без привлечения дорогостоящего импортного оборудования",исследования геофизические\контрольно-измерительные приборы\скважины горизонтальные
328,179245,Возрастные особенности экспрессии сигнальных молекул в эндотелии сосудов человека и их роль в развитии cердечно сосудистой патологии,Использовали аутопсийный материал аорты людей молодого  среднего  пожилого  старческого возраста и долгожителей  Изучение экспрессии сигнальных молекул в эндотелии проводили методом иммуногистохимии с применением морфометрии для количественного анализа данных  В пожилом и старческом возрасте экспрессия молекул клеточной адгезии   VCAM 1 и Р селектина возрастает в 4 раза  В пожилом  старческом возрасте и у долгожителей экспрессия пролиферотропного протеина PCNA снижается в среднем в 3 7 раза  а экспрессия проапоптотического белка Caspase 3 возрастает в 3 5 раза  В пожилом  старческом возрасте и у долгожителей наблюдается уменьшение экспрессии гистоновых деацетилаз Sirt1 и Sirt6 соотвественно в 5 и 3 раза по сравнению с таковой у людей молодого и среднего возраста  Полученые данные показали  что в возрасте старше 60 лет наблюдается снижение функциональной активности и процессов клеточного обновления эндотелия сосудов  При этом адгезионная способность эндотелия возрастет  Кроме того  снижение экспрессии сиртуинов указывает на наличие клеточного старения в эндотелии  характеризующегося накоплением повреждений в ДНК  Это свидетельствует о повышении вероятности риска развития сердечно сосудистой патологии у людей пожилого и старческого возраста  Описанные в статье сигнальные молекулы эндотелия могут выступать в качестве маркеров для предиктивной диагностики патологии сердечно сосудистой системы ,возраст сердечно сосудистые заболевания сигнальные молекулы эндотелий
329,1236,Влияние береговых деформаций на распространение примесей в реках криолитозоны (лабораторное и математическое моделирование),"Исследован переноса загрязнений в реках, протекающих в условиях криолитозоны, с учетом возможных деформаций русел, вызванных таянием слагающих их многолетнемерзлых пород",деформация\загрязняющие вещества\русла\экология
330,159364,Перспективы повышения эффективности использования солнечной энергии в России,"Исследованы теоретические и практические проблемы повышения в перспективе эффективности использования солнечной энергии в России в условиях рыночных отношений. Выявлены факторы, влияющие на динамику развития солнечной энергетики в России, описаны некоторые особенности развития солнечной энергетики по различным регионам нашей страны. Дано экономическое обоснование внедрению этого вида энергии в хозяйственную деятельность РФ в перспективе",Россия\альтернативные источники энергии\гелиотермальные установки\гелиоэнергетика
331,128235,"Инерционно усиленные полосы поглощения фононов, генерируемые механизмом гибкого превращения осевого движения во вращательное",Исследованы полосы поглощения фононного кристалла механизмом одномерного превращения движения поступательного движения во вращательное. Для получения поглощения в низкочастотной области усилен механизм инерции элемепнтарной ячейки. Выполнены параметрические исследованиядля создания широких полос поглощения на низких частотах.,
332,26106,О СКЛОННОСТИ РАСПЛАВОВ НА ОСНОВЕ Co  Ni И Fe К ОБЪЕМНОЙ АМОРФИЗАЦИИ,Методами вискозиметрии  ДТА  рентгеноструктурного и металлографического анализов проведены исследования влияния жидкой фазы на стеклообразующую способность сплавов Co 65  Fe 6 5  Si 1 8 B 10      Ni 64 4 Fe 4 Cr 4 9 Mn 2 B 16 2 C 0 5 Si 8   Fe 50 Cr 15 Mo 14 C 15 B 6   проявляющих различную склонность к объемной аморфизации  Проведенные исследования показали  что в условиях закалки из расплава со скоростями 10 3 К с наибольшая доля аморфной фазы достигается при охлаждении из узкого интервала температур вблизи 1300 С для Co 65  Fe 6 5  Si 1 8 B 10     1230 С для Ni 64 4 Fe 4 Cr 4 9 Mn 2 B 16 2 C 0 5 Si 8  и 1380 С для Fe 50 Cr 15 Mo 14 C 15 B 6   При этом вблизи указанных температур наблюдаются аномалии на политермах вязкости и переохлаждения  обусловленные изменением ближнего упорядочения в расплавах  Перегрев исследованных расплавов выше этих температур приводит к изменению характера кристаллизации сплавов и их стеклообразующей способности  Проведенные исследования показали  что анализ температурных зависимостей переохлаждения и кинематической вязкости можно использовать для определения оптимальных температур закалки расплавов для достижения наилучшей их аморфизуемости ,аморфизация влияние железо сплавы кобальт сплавы никель сплавы объемная стеклообразование температура
333,120125,Внутренняя кинетика синтеза перуксусной кислоты посредством каталитического окисления,"Внутренняя кинетика синтеза перуксусной кислоты и кинетика разложения H[2]O[2] изучена химическим анализом титрования, используя Mg/Sn/W оксид в качестве катализатора, H[2]O[2]-окислителя и бутилацетата как погрузчика",ацетат\бутил-\водород пероксид\каталитическая реакция\окисление\перуксусная кислота\разложение\синтез
334,369254,Зависимая от марганца пируваткиназа PykM требуется клеткам Brucella abortus 2308для утилизации глюкозы и проявления вирулентности у мышей C57BL/6,"Потеря зависимой от марганца пируваткиназы PykM негативно влияла на способность штаммов Brucella abortus 2308 утилизировать глюкозу, фруктозу и галактозу, но не влияла на утилизацию рибозы, ксилозы, арабинозы и эритритола. Хотя пируватфосфатдикиназа могла заменить PykM в некоторых клетках, влияние обоих ферментов на метаболизм углерода и вирулентность бактерий было различным. США, Brody Sch. Med., East Carolina Univ., NC Greenville",Brucella abortus (Bact.)\вирулентность\глюкоза\мыши\пируваткиназа РукМ\роль\утилизация
335,299163,Цезий-вольфрамовая бронза___- перспективный материал для приборов ночного видения ультрафиолетового диапазона,"Цезий-вольфрамовая бронза (ЦВБ) является перспективным материалом для тонкопленочных фотокатодов приборов ночного видения ультрафиолетового диапазона. Так как для реализации технологии вакуумной конденсации таких пленок методом дискретного испарения необходимы микрокристаллы размером порядка 50_-120__мкм, исходный материал___- ЦВБ___- получаем методом электрохимического синтеза из расплава триоксида вольфрама и вольфрамата цезия",бронзы\вакуумная конденсация\изделия\пленки\фотоэлектроника\цезий_-вольфрам
336,45931,Выявление главных осей деформаций упругой системы металлорежущего станка средствами конечно элементного моделирования,Рассматривается определение главных осей жесткости несущих систем металлорежущих станков путем вычислительного эксперимента с применением САЕ систем  Описываются особенности построения расчетных моделей  методика выполнения эксперимента и перспективы применения метода ,деформация моделирование станки
337,81682,Активный Канни: обнаружение и восстановление краев моделями открытых активных контуров,"Предлагается алгоритм обнаружения и восстановления краев на изображении, использующий модели открытых активных контуров для решения проблемы шума или разорванных краев, создаваемых классическими алгоритмами обнаружения краев, типа алгоритма Канни",активные контуры\анализ изображений\изображения восстановление\обнаружение краев
338,370560,Свойства не содержащей свинец проводящей серебряной пасты с различной морфологией и размером частиц серебра,"Исследовали влияние распределения размера частиц и морфологии порошков серебра на удельное электрическое сопротивление (УЭС) и адгезию серебряной пленки. Исследовали четыре вида сферических порошков со средним размером частиц 0,5, 0,91, 2,09 и 3,36 мкм и один вид серебряного порошка в форме хлопьев со средним размером частиц 4,3 мкм. Сначала приготовили пять видов пасты, затем получили оптимальное качество серебряной пасты с серебряным порошком. Морфологию спеченной из пасты серебряной пленки исследовали методом РЭМ, УЭС измерили четырехточечным зондом, а адгезию оценили с помощью испытания на разрыв. Обсудили влияние размера и морфологии частиц на УЭС и адгезию серебряной пленки. Результаты показали, что когда морфология серебра сферическая и размер частиц 0,91 мкм, можно получить оптимальные УЭС (33,3 мОм~xсм) и адгезию (3,193 Н). Порошок наносеребра может повысить электрические свойства серебра. При добавлении 4% можно получить УЭС и адгезию, соответственно, 30,9 мкОм~xсм и 3,253 Н. При содержании хлопьев серебра 8% УЭС и адгезия серебряной пленки были лучшими: соответственно 27,7 мкОм~xсм и 3,478 Н.",адгезия\морфология\пленки\размер частиц\серебро\удельное электросопротивление
339,285562,Ячеечная модель ионообменной мембраны. Электропроводность и электроосмотическая проницаемость,"В рамках термодинамики неравновесных процессов, на основе ранее предложенной автором ячеечной модели заряженной мембраны, вычислены электроосмотическая проницаемость и удельная электропроводность ионообменной мембраны, рассматриваемые как кинетические коэффициенты матрицы Онзагера. Предполагается, что мембрана состоит из упорядоченной совокупности пористых заряженных частиц сферической формы, помещенных в сферические оболочки, заполненные раствором бинарного электролита. Аналитически решены краевые задачи для определения электроосмотической проницаемости и электропроводности такой мембраны в случае граничного условия Кувабары на поверхности ячейки. Рассмотрение ведется в рамках малого отклонения параметров системы от своих равновесных значений при наложении внешних полей. Исследованы различные частные случаи полученных точных аналитических формул, в том числе бинарного симметричного электролита и идеально-селективной мембраны. Показано, что удельная электропроводность (прямой кинетический коэффициент) катионообменной мембраны с увеличением концентрации электролита может по-разному монотонно расти _- с точкой перегиба графика (как у вольтамперной кривой) или без нее. Поведение электроосмотической проницаемости с ростом концентрации электролита зависит от разности между единицей и коэффициентом распределения молекул электролита и разницы между отношениями коэффициентов диффузии ионов в разбавленном растворе и мембране: она может монотонно расти или увеличиваться с выходом на плато, или иметь максимум.",ионный обмен\мембраны\моделирование математическое\проницаемость\электроосмотическая\электропроводность\ячеечная модель
340,26628,Удовлетворенность работой и удовлетворенность жизнью в современной россии: модели взаимосвязей,"Обосновывается актуальность обращения к феномену взаимосвязи оценок работы и жизни в современной России. На основе анализа данных европейского социального исследования (ESS) 2006 и 2012 гг., российского мониторинга экономического положения и здоровья населения (RLMS-HSE) 2002-2016 гг. и опроса по целевым выборкам рабочих на промышленных предприятиях в российских областных центрах (2003, 2007, 2013 и 2014 гг.) выявлены и продиагностированы три модели взаимосвязей между удовлетворенностью работой и удовлетворенностью жизнью: с превышением удовлетворенности работой над удовлетворенностью жизнью (_1российская_2), с их равенством (_1германская_2) и с превышением удовлетворенности жизнью над удовлетворенностью работой (_1шведская_2). Результаты анализа не выявили устойчивых различий работников, соотносимых с диагностируемыми моделями, по объективным характеристикам, однако обнаруженные различия по субъективным оценкам позволили выявить ряд устойчивых тенденций. Наиболее явной и воспроизводимой во всех исследованиях особенностью _1российской_2 модели являются оценки выполняемой работы как более интересной, _1шведской_2 - более высокий уровень счастья. Социальные характеристики _1германской_2 модели занимают, как правило, промежуточную позицию. Выявлен рост доли _1германской_2 модели среди российских рабочих и рабочих на промышленных предприятиях, проживающих в областных центрах, таким образом, при равенстве оценок удовлетворенности работы и удовлетворенности жизни происходит сохранение и развитие человеческого потенциала.",Россия\модели\уровень жизни\экономика труда
341,163528,Оценка глобальной деформации миокарда левого желудочка в сравнении с воспроизводимостью четырех коммерчески доступных алгоритмов слежения за характеристиками при сердечно-сосудистой МРТ,"Сердечно-сосудистая МРТ выполнена у 15 больных с острым инфарктом миокарда, 15 больных с дилятационной кардиомиопатией и 15 здоровых людей контрольной группы. Для оценки глобальной деформации миокарда левого желудочка использовали 4 коммерчески доступных алгоритма слежения за радиальной, окружностной и продольной деформацией. Обсуждают различия между использованными алгоритмами в результатах и их воспроизводимости",МРТ\деформация\измерение\левый желудочек\сердце
342,75027,Имитационное моделирование и экспериментальное исследование активной системы обогрева теплицы,"Решается задача выращивания урожая при экстремально низких температурах. Вначале исследуется процесс переноса тепла в системе, используя теорию термического равновесия. Цифровое моделирование распределения температуры осуществлялось с помощью конечно-элементного ПО",ПО\моделирование\сельское хозяйство
343,19157,Улучшение конструкции и режима работы терминалов для регазификации сжиженного природного газа,"Предложена модель резервуара-хранилища сжиженного природного газа на терминалах, основанная на аналитических и интуитивных решениях проблем процесса регазификации сжиженного природного газа, в том числе проблемы минимизации выпаривания газа. Модель обеспечивает снижение выпаривания в процессе регазификации в 2 раза по сравнению с известными в литературе данными и уменьшение времени работы компрессора как при планируемых, так и при непланируемых остановках процесса регазификации на терминалах",газообразное топливо\конструкции терминалов\моделирование\регазификация\сжиженный природный газ
344,83622,Диагностика неисправностей аксиально-поршневого насоса,"Китайскими специалистами в области насосостроения решение сложной задачи диагностики неисправностей и выявления причин их вероятных отказов аксиально-поршневого насоса предлагается осуществлять по результатам анализа периодических импульсов регистрируемых сигналов вибрации с надежной фильтрацией фоновых шумов способом демодуляции оператором энергии Тигера-Кайзера с использованием улучшенной сегментации на основе кластеризации и метода асимметричного эксцесса теории вероятностей и матем. статистики. В отличие от традиционного метода сегментации на основе кластеризации, улучшенная версия является двухтактной, она может эффективно извлекать признаки неисправностей из фонового шума и периодического импульса его физ. природы. Инновационная демодуляция больше подходит для выявления неисправностей, чем традиционная демодуляция Гильберта из-за упрощения расчета.",исполнительные механизмы\насосы\насосы аксиально-поршневые\неисправности\операторы демодуляции\техническая диагностика
345,132493,"Трибологические свойства многослойных покрытий Ni_-Fe_-Al[2]O[3], осажденных методом импульсного электроосаждения","Исследовали износ электроосажденного покрытия Ni_-Fe_-Al[2]O[3] и влияние его многослойной структуры. Многослойные покрытия Ni_-Fe_-Al[2]O[3] осаждали, изменяя продолжительность включения между двумя значениями 90% и 20%. Матрица чередующихся слоев содержит 28 и 54 масс.% Fe, соответствующие продолжительности включения 90% и 20%, с внедренными наночастицами Al[2]O[3]. Толщина каждого слоя в многослойных покрытиях _- 0,08_-4 мкм. При уменьшении толщины слоев увеличивается твердость по механизму упрочнения Холла-Петча. Испытания без смазки показали, что износ покрытий Ni_-Fe_-Al[2]O[3] имеет переход от мягкого износа к интенсивному при 10 Н. Механизм износа _- абразивный в мягком режиме, а с увеличением приложенной нагрузки доминирующие механизмы _- пластическая деформация и отслаивание. Меньшая толщина слоя в многослойном покрытии приводит к более высоким твердости и износостойкости.",износостойкость\импульсное электроосаждение\механизм износа\многослойные покрытия\покрытия\твердость\толщина
346,183842,НОВЫЙ ПОДХОД К ЛЕЧЕНИЮ ПРОЛАПСА ГЕНИТАЛИЙ,"Список гинекологических заболеваний весьма широк, и далеко не последнее место в нем занимает такая патология, как опущение матки. Научное название опущения матки - это пролапс половых органов или пролапс гениталий. Это нередкая патология на сегодняшний день. Заболевание очень часто начинается в репродуктивном возрасте и носит всегда прогрессирующий характер. Частота встречаемости патологии растет по мере увеличения количества прожитых лет. Важную роль в предотвращение развития пролапса гениталий играет хорошо развитый мышечный аппарат у женщины. Предупреждает выпадение матки, мочевого пузыря, тонкого кишечника и прямой кишки за пределы брюшной полости прочный каркас, в состав которого входят мышцы и соединительная ткань. На базе клинической больницы проводится исследование, приведены статистические данные и результаты наблюдений за пациентками. Также рассмотрены несколько классификаций и различные пути решения этой проблемы. Основной путь решения данной проблемы остается на сегодняшний день хирургический. Грамотный подход позволяет достигнуть положительных результатов. Подведены итоги и сделаны выводы, даны практические рекомендации",гинекология\пролапс гениталий
347,118924,Острый гепатит А с холестазом  течение и терапия,За последние годы отмечен рост заболеваемости острым вирусным гепатитом А  ГА   Показано  что практически у всех детей с острым ГА при ультразвуковом исследовании выявляется отек стенки желчного пузыря  ЖП   У ряда больных ГА протекает с холестазом  К клиническим признакам относятся иктеричность и зуд кожи  боли в животе  значительная гепатомегалия  В сыворотке крови повышается уровень билирубина за счет конъюгированной фракции  щелочной фосфатазы    глутамилтранспептидазы  Применение препарата урсодезоксихолевой кислоты Урсосана при остром ГА  протекающем с холестазом  в дозе 10 15 мг кг внутрь после еды в 1 2 приема приводит к быстрому клиническому и биохимическому выздоровлению  а также оказывает благоприятное действие на состояние ткани печени и ЖП  купирует отек стенки ЖП ,вирусный гепатит А детский возраст лечение урсодезоксихолевая кислота  урсосан 
348,360219,Ферментный тромболизис и _1массаж_2 при окклюзии вен сетчатки,"На сегодняшний день некоторые аспекты возникновения тромбоза ретинальных вен остаются дискутабельными. Большое количество факторов развития заболевания, отсутствие единой концепции патогенеза обтурации вен сетчатки приводят к неопределенности в тактике ведения пациентов, что снижает качество лечения. Цель исследования: проанализировать состояние микроциркуляции при окклюзии ретинальных вен на фоне применения _1массажа_2 пораженной вены сетчатки и эпиретинального введения ферментного тромболитика. Обследовано 96 человек (49% мужчин и 51% женщин в возрасте 60,2_+1,9 года) с обтурацией ретинальных вен. Пациентам основной группы (n=47) выполняли _1массаж_2 пораженной вены сетчатки и эпиретинальное введение 500 МЕ рекомбинантной проурокиназы; пациентам группы сравнения (n = 49) однократно вводили эпиретинально 500 МЕ рекомбинантной проурокиназы на фоне традиционной фармакотерапии. Индукция тромболизиса при помощи _1массажа_2 пораженной вены сетчатки на фоне эпиретинального введения ферментного фибринолитика в 2 раза ускоряла восстановление кровотока в ретинальном сосуде и в 1,5 раза сокращала время резорбции отека центральных отделов сетчатки, обеспечивая эффективное (в 1,7 раза) повышение биоэлектрической ретинальной активности. _1Массаж_2 ретинальных вен на фоне ферментного тромболизиса, проведенный в первые 7 дней от начала заболевания, является перспективным методом лечения окклюзии вен сетчатки.",массаж ретинальных вен\вены\окклюзионные поражения\ретинальные\ферментный тромболизис
349,65972,Оценка легкоразлагаемого органического вещества почв сельскохозяйственных угодий Красноярского края,В качестве критерия оценки эффективного плодородия и степени выпаханности почв предложено использовать показатель содержания в почве легкоразлагаемого органического вещества  ЛОВ   Показано  что содержание ЛОВ в пахотных агрочерноземах и агросерых почвах разных природных округов Красноярского края изменяется от 0 15 до 1 55  от массы почвы  Доля ЛОВ в общем составе органического вещества пахотных почв изменяется в пределах 5 2 28 5   возрастая в условиях многолетней залежи до 55 9   Для оценки содержания ЛОВ в пахотных почвах и определения степени выпаханности почв предложены соответствующие группировки,легкоразлагаемые фракции органическое вещество плодородие почв
350,160097,Разработка и материаловедческое обоснование технологии холодной гибки деталей корпусов кораблей из высокопрочных сталей и сплавов методом локального деформирования,"На АО _1ПО _1Севмаш_2 разработана технология пространственной гибки деталей корпусов кораблей из высокопрочных сталей и сплавов методом последовательного локального деформирования (ПЛД), дано материаловедческое обоснование ее внедрения. Кроме практической положительной стороны изготовления деталей, метод ПЛД экономически эффективен и позволяет значительно снизить стоимость изготовления деталей.",высокопрочные\детали\корпуса кораблей\методы\последовательное локальное деформирование\сплавы
351,354799,Влияние величины коэффициента заполнения на качество покрытия AlCrSiN при его нанесении импульсным ионно-дуговым методом,"Экспериментально показано, что величина коэффициента заполнения в последовательности импульсов при импульсном ионно-дуговом нанесении покрытия AlCrSiN оказывает большое влияние на его качество. Показано, что при величине коэффициента заполнения 1% достигается минимальная шероховатость поверхности (47__нм) при максимальной твердости (31,5__ГПа)",качество поверхности\нанесение импульсное ионно-дуговое\покрытия нитридные
352,113176,Открытие новых ингибиторов пируватдегидрогеназакиназ скринингом домашней библиотеки малых молекул для лекарственных средств против рака легкого,"Идентифицированы структурно-новые ингибиторы пируватдегидрогеназасинтазы (PDK1), сверхэкспрессирующей в различных раковых клеточных линиях, терапевтической мишени в лечении раковых заболеваний, скринингом библиотеки малых молекул, с EC[50] от 0.50 до 4.64__мкМ в отношении PDK1",базы данных\ингибиторы ферментов\пируватдегидрогеназакиназа\противораковые вещества\скрининг
353,152709,Модель экономического развития Норвегии как пример эффективного управления ресурсами страны,"Скандинавские страны во своей моделью ""Страны всеобщего благосостояния"" все больше привлекают в качестве примера успешные европейские страны. Россия, как и Норвегия, живет за счет эспортоориентированной экономики, но в отличие от нее не предпринимает решительных шагов к уходу от сырьевой зависимости. Норвежская модель экономики является примером эффективного управления природными, финансовыми и человеческими ресурсами, на которую давно стоит обратить внимание российскому руководству",Норвегия\международная торговля\экономический анализ\экономическое развитие
